"";"рейс";"расписание";"ожидаемое.время";"статус";"Авиакомпания";"Номер.рейса";"Направление";"Самолёт";"lon";"lat";"V11"
"1";"SU 1167 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-19 02:55:00";NA;"ожидается";" Аэрофлот";"SU 1167";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"2";"B2 936 Ростов-на-Дону — МинскEmbraer EMB 175";"2018-05-19 03:15:00";NA;"ожидается";" Белавиа";"B2 936";"Минск";"Embraer EMB 175";"93.3343983";"57.099061";4
"3";"U6 923 Ростов-на-Дону — ПрагаAirbus A319";"2018-05-19 03:40:00";NA;"ожидается";" Уральские авиалинии";"U6 923";"Прага";"Airbus A319";"14.4212535";"50.0874654";6
"4";"OK 915 Ростов-на-Дону — ПрагаAirbus A319";"2018-05-19 03:50:00";NA;"ожидается";" Czech Airlines";"OK 915";"Прага";"Airbus A319";"14.4212535";"50.0874654";6
"5";"TK 294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-19 04:10:00";NA;"ожидается";" Turkish Airlines";"TK 294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"6";"UT 4294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-19 04:10:00";NA;"ожидается";" ЮТэйр";"UT 4294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"7";"S7 1160 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-19 05:30:00";NA;"ожидается";" S7 Airlines";"S7 1160";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"8";"SU 1165 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-19 05:50:00";NA;"ожидается";" Аэрофлот";"SU 1165";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"9";"UT 498 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-19 06:35:00";NA;"ожидается";" ЮТэйр";"UT 498";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"10";"SU 6102 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-19 07:00:00";NA;"ожидается";" Россия";"SU 6102";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"11";"A4 203 Ростов-на-Дону — Санкт-ПетербургСухой Суперджет 100";"2018-05-19 08:00:00";NA;"ожидается";" Азимут";"A4 203";"Санкт-Петербург";"Сухой Суперджет 100";"30.316229";"59.938732";22
"12";"8Q 876 Ростов-на-Дону — АнтальяAirbus А321";"2018-05-19 09:20:00";NA;"ожидается";" Onur Air";"8Q 876";"Анталья";"Airbus А321";"30.6954846";"36.9009641";7
"13";"SU 1159 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-19 10:30:00";NA;"ожидается";" Аэрофлот";"SU 1159";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"14";"SU 6270 Ростов-на-Дону — Санкт-ПетербургAirbus A319";"2018-05-19 10:50:00";NA;"ожидается";" Россия";"SU 6270";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";22
"15";"DP 853 Ростов-на-Дону — ТбилисиBoeing 737-800";"2018-05-19 11:35:00";NA;"ожидается";" Победа";"DP 853";"Тбилиси";"Boeing 737-800";"44.8015019";"41.6935247";7
"16";"SU 1163 Ростов-на-Дону — Москва (Шереметьево)Airbus A320";"2018-05-19 12:00:00";NA;"ожидается";" Аэрофлот";"SU 1163";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"17";"SU 6833 Ростов-на-Дону — СимферопольAirbus A319";"2018-05-19 13:10:00";NA;"ожидается";" Россия";"SU 6833";"Симферополь";"Airbus A319";"34.1024858";"44.9521457";7
"18";"UT 368 Ростов-на-Дону — Москва (Внуково)Boeing 737-400";"2018-05-19 13:45:00";NA;"ожидается";" ЮТэйр";"UT 368";"Москва";"Boeing 737-400";"37.6176606";"55.7507178";134
"19";"A4 207 Ростов-на-Дону — СамараСухой Суперджет 100";"2018-05-19 14:15:00";NA;"ожидается";" Азимут";"A4 207";"Самара";"Сухой Суперджет 100";"50.113987";"53.198627";2
"20";"DP 104 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-19 16:05:00";NA;"ожидается";" Победа";"DP 104";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"21";"S7 1156 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-19 16:10:00";NA;"ожидается";" S7 Airlines";"S7 1156";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"22";"SU 1157 Ростов-на-Дону — Москва (Шереметьево)Airbus A320";"2018-05-19 16:20:00";NA;"ожидается";" Аэрофлот";"SU 1157";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"23";"SU 1155 Ростов-на-Дону — Москва (Шереметьево)Airbus A321";"2018-05-19 18:25:00";NA;"ожидается";" Аэрофлот";"SU 1155";"Москва";"Airbus А321";"37.6176606";"55.7507178";134
"24";"Y7 918 Ростов-на-Дону — НорильскBoeing 737-800";"2018-05-19 18:40:00";NA;"ожидается";" Нордстар";"Y7 918";"Норильск";"Boeing 737-800";"88.200517";"69.3498394";2
"25";"DP 522 Ростов-на-Дону — Санкт-ПетербургBoeing 737-800";"2018-05-19 19:20:00";NA;"ожидается";" Победа";"DP 522";"Санкт-Петербург";"Boeing 737-800";"30.316229";"59.938732";22
"26";"SU 6106 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-19 20:00:00";NA;"ожидается";" Россия";"SU 6106";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"27";"SU 1161 Ростов-на-Дону — Москва (Шереметьево)Airbus A321";"2018-05-19 20:05:00";NA;"ожидается";" Аэрофлот";"SU 1161";"Москва";"Airbus А321";"37.6176606";"55.7507178";134
"28";"UT 494 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-19 20:40:00";NA;"ожидается";" ЮТэйр";"UT 494";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"29";"S7 1152 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-19 20:50:00";NA;"ожидается";" S7 Airlines";"S7 1152";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"30";"DP 106 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-19 21:00:00";NA;"ожидается";" Победа";"DP 106";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"31";"SU 6629 Ростов-на-Дону — Тель-АвивAirbus A319";"2018-05-19 21:20:00";NA;"ожидается";" Россия";"SU 6629";"Тель-Авив";"Airbus A319";"34.7805274";"32.0804808";2
"32";"SU 6272 Ростов-на-Дону — Санкт-ПетербургAirbus A319";"2018-05-19 21:30:00";NA;"ожидается";" Россия";"SU 6272";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";22
"33";"DP 562 Ростов-на-Дону — ЕкатеринбургBoeing 737-800";"2018-05-20 00:50:00";NA;"ожидается";" Победа";"DP 562";"Екатеринбург";"Boeing 737-800";"60.60825";"56.839104";3
"34";"SU 1167 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-20 02:55:00";NA;"ожидается";" Аэрофлот";"SU 1167";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"35";"TK 294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-20 04:10:00";NA;"ожидается";" Turkish Airlines";"TK 294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"36";"UT 4294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-20 04:10:00";NA;"ожидается";" ЮТэйр";"UT 4294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"37";"S7 1160 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-20 05:30:00";NA;"ожидается";" S7 Airlines";"S7 1160";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
