"";"рейс";"расписание";"ожидаемое время";"статус";"Авиакомпания";"Номер рейса";"Направление";"Самолёт";"lon";"lat";"V11"
"8";"SU 1627 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-22 02:25:00;" ";"ожидается";" Аэрофлот";"SU 1627";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"9";"SU 6860 Симферополь — УфаBoeing 737-800";2018-05-22 02:55:00;" ";"ожидается";" Россия";"SU 6860";"Уфа";"Boeing 737-800";"55.947727";"54.726288";4
"10";"N4 634 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-22 03:20:00;" ";"ожидается";" Nordwind Airlines";"N4 634";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"11";"SU 6898 Симферополь — Санкт-ПетербургAirbus А320";2018-05-22 07:05:00;" ";"ожидается";" Россия";"SU 6898";"Санкт-Петербург";"Airbus A320";"30.316229";"59.938732";44
"12";"S7 264 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-22 08:40:00;" ";"ожидается";" S7 Airlines";"S7 264";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"13";"N4 124 Симферополь — Москва (Шереметьево)Airbus А321";2018-05-22 09:20:00;" ";"ожидается";" Nordwind Airlines";"N4 124";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"14";"SU 2801 Симферополь — СочиСухой Суперджет 100";2018-05-22 09:30:00;" ";"ожидается";" Аэрофлот";"SU 2801";"Сочи";"Сухой Суперджет 100";"39.723109";"43.5854823";7
"15";"U6 526 Симферополь — Москва (Домодедово)Airbus А320";2018-05-22 09:40:00;" ";"ожидается";" Уральские авиалинии";"U6 526";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"16";"SU 1637 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-22 09:50:00;" ";"ожидается";" Аэрофлот";"SU 1637";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"17";"S7 270 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-22 10:05:00;" ";"ожидается";" S7 Airlines";"S7 270";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"18";"SU 1645 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-22 10:50:00;" ";"ожидается";" Аэрофлот";"SU 1645";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"19";"SU 6892 Симферополь — Санкт-ПетербургAirbus A319";2018-05-22 11:20:00;" ";"ожидается";" Россия";"SU 6892";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"20";"SU 6836 Симферополь — КраснодарBoeing 737-800";2018-05-22 11:55:00;" ";"ожидается";" Россия";"SU 6836";"Краснодар";"Boeing 737-800";"38.9757116";"45.0354329";2
"21";"U6 440 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-22 12:05:00;" ";"ожидается";" Уральские авиалинии";"U6 440";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"22";"S7 164 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-22 12:20:00;" ";"ожидается";" S7 Airlines";"S7 164";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"23";"S7 3328 Симферополь — НовосибирскBoeing 737-800";2018-05-22 12:40:00;" ";"ожидается";" S7 Airlines";"S7 3328";"Новосибирск";"Boeing 737-800";"82.9234509";"55.0282171";8
"24";"SU 1621 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-22 12:55:00;" ";"ожидается";" Аэрофлот";"SU 1621";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"25";"U6 2832 Симферополь — Москва (Домодедово)Airbus А321";2018-05-22 13:15:00;" ";"ожидается";" Уральские авиалинии";"U6 2832";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
